id,categoryl1,categoryl2,categoryl3,version,brand,product_code,image_url,status
152,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,一代,SERUNA,HH01,./data/images/product_images/护踝/护踝_HH01_SERUNA.png,active
153,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,一代,JAFFICK,HH01,./data/images/product_images/护踝/护踝_HH01_JAFFICK.png,active
154,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,一代,ANTA,9825172564,./data/images/product_images/护踝/护踝_9825172564.png,active
155,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,二代,TMT,HH45,./data/images/product_images/护踝/护踝_HH45.png,active
156,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,二代,SERUNA,HH15,./data/images/product_images/护踝/护踝_HH15.png,active
157,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,二代,JAFFICK,HH35,./data/images/product_images/护踝/护踝_HH35.png,active
158,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,二代,ANTA,9825372560R,./data/images/product_images/护踝/护踝_9825372560R.png,active
159,护踝,轻薄扭伤护踝,轻薄扭伤（绑带款）,三代,JAFFICK,C-HH55,./data/images/product_images/护踝/护踝_C-HH55.png,active
160,护踝,轻薄扭伤护踝,轻薄扭伤（绑带透气款）,一代,TMT,HH47,./data/images/product_images/护踝/护踝_HH47.png,active
161,护踝,轻薄扭伤护踝,轻薄扭伤（绑带透气款）,一代,SERUNA,HH25,./data/images/product_images/护踝/护踝_HH25.png,active
162,护踝,轻薄扭伤护踝,轻薄扭伤（绑带透气款）,一代,JAFFICK,HH33,./data/images/product_images/护踝/护踝_HH33.png,active
163,护踝,轻薄扭伤护踝,轻薄扭伤（绑带硅胶款）,一代,TMT,HH03,./data/images/product_images/护踝/护踝_HH03_TMT.webp,active
164,护踝,轻薄扭伤护踝,轻薄扭伤（绑带硅胶款）,一代,SERUNA,HH03,./data/images/product_images/护踝/护踝_HH03_SERUNA.png,active
165,护踝,轻薄扭伤护踝,轻薄扭伤（绑带硅胶款）,一代,JAFFICK,HH03,./data/images/product_images/护踝/护踝_HH03_JAFFICK.png,active
166,护踝,轻薄扭伤护踝,轻薄扭伤（绑带硅胶款）,二代,ANTA,9825172565,./data/images/product_images/护踝/护踝_9825172565.png,active
167,护踝,轻薄扭伤护踝,防扭伤外套,一代,TMT,HH09,./data/images/product_images/护踝/护踝_HH09.png,active
168,护踝,运动护踝,交叉绑护踝,一代,TMT,H66/H66JYD/H69JYD,./data/images/product_images/护踝/护踝_H66_H66JYD.png,active
169,护踝,运动护踝,交叉绑护踝,一代,SERUNA,HH13,./data/images/product_images/护踝/护踝_HH13.png,active
170,护踝,运动护踝,交叉绑护踝,一代,JAFFICK,HH29,./data/images/product_images/护踝/护踝_HH29.png,active
171,护踝,运动护踝,交叉绑护踝,一代,TMT,HH74/H73/H74,./data/images/product_images/护踝/护踝_HH74_H73_H74.png,active
172,护踝,运动护踝,交叉绑护踝,二代,TMT,HH05,./data/images/product_images/护踝/护踝_HH05.png,active
173,护踝,运动护踝,运动支撑护踝,一代,TMT,HH80,./data/images/product_images/护踝/护踝_HH80.png,active
174,护踝,运动护踝,套筒运动护踝,一代,TMT,H62,./data/images/product_images/护踝/护踝_H62.png,active
175,护踝,运动护踝,套筒绑带运动护踝,一代,TMT,FH36,./data/images/product_images/护踝/护踝_FH36.png,active
176,护踝,运动护踝,套筒绑带运动护踝,一代,TMT,FH18,./data/images/product_images/护踝/护踝_FH18.png,active
177,护踝,针织护踝,针织扭伤护踝,一代,TMT,H25,./data/images/product_images/护踝/护踝_H25.png,active
178,护踝,针织护踝,针织扭伤护踝,一代,SERUNA,JHH003,./data/images/product_images/护踝/护踝_JHH003.png,active
179,护踝,针织护踝,针织扭伤护踝,一代,TMT,H72,./data/images/product_images/护踝/护踝_H72.webp,active
180,护踝,骨折护踝,外露骨折护踝,一代,TMT,H70,./data/images/product_images/护踝/护踝_H70_TMT.png,active
181,护踝,骨折护踝,外露骨折护踝,一代,SERUNA,H70,./data/images/product_images/护踝/护踝_H70_SERUNA.png,active
182,护踝,骨折护踝,外露骨折护踝,一代,JAFFICK,H70,./data/images/product_images/护踝/护踝_H70_JAFFICK.png,active
183,护踝,骨折护踝,外露骨折护踝,一代,TMT,C-H70,./data/images/product_images/护踝/护踝_C-H70.png,active
184,护踝,骨折护踝,外露骨折护踝,二代,SERUNA,HH19,./data/images/product_images/护踝/护踝_HH19.png,active
185,护踝,骨折护踝,外露骨折护踝,二代,JAFFICK,HH37,./data/images/product_images/护踝/护踝_HH37.png,active
186,护踝,骨折护踝,外露骨折护踝,三代,JAFFICK,HH43,./data/images/product_images/护踝/护踝_HH43.png,active
187,护踝,骨折护踝,夹板护踝,一代,TMT,H68,./data/images/product_images/护踝/护踝_H68.png,active
188,护踝,骨折护踝,夹板护踝,二代,TMT,HH11,./data/images/product_images/护踝/护踝_HH11_TMT.png,active
189,护踝,骨折护踝,夹板护踝,二代,SERUNA,HH11,./data/images/product_images/护踝/护踝_HH11_SERUNA.png,active
190,护踝,骨折护踝,夹板护踝,三代,TMT,HH39/C-HH51,./data/images/product_images/护踝/护踝_HH39_C-HH51.png,active
191,护踝,骨折护踝,夹板护踝,三代,SERUNA,HH49,./data/images/product_images/护踝/护踝_HH49.png,active
192,护踝,骨折护踝,二级防护,一代,SERUNA,HH23,./data/images/product_images/护踝/护踝_HH23.png,active
193,护踝,骨折护踝,二级防护,一代,JAFFICK,HH31,./data/images/product_images/护踝/护踝_HH31.png,active
194,护踝,骨折护踝,鞋带固定,一代,TMT,H18,./data/images/product_images/护踝/护踝_H18.png,active
